Stock Ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend,Forward Yeild,Ex-Dividend Date,1y Target Est
MMM,163.1,165.47,165.56 x 1000,165.79 x 800,164.76 - 166.15,150.58 - 219.75,1949.0,1855778.0,96.262,1.28,19.97,8.31,,5.76,3.52,2019-08-15,172.0
AOS,51.01,51.41,51.01 x 800,51.10 x 1200,50.82 - 51.78,40.34 - 56.66,1423.0,1681229.0,8.567,1.67,20.51,2.49,,0.96,1.88,2019-10-30,52.17
ABT,82.79,83.14,81.55 x 800,82.18 x 1400,81.51 - 83.28,65.44 - 88.76,5308.0,5509062.0,145.026,0.8,44.38,1.84,,1.28,1.55,2019-07-12,94.03
ABBV,76.46,76.88,77.21 x 1000,77.40 x 1100,75.85 - 77.85,62.66 - 94.98,7737.0,7467646.0,116.295,0.71,28.22,2.74,,4.28,5.6,2019-10-14,87.8
ACN,187.08,186.95,187.22 x 900,187.37 x 1000,185.39 - 187.54,132.63 - 202.80,1296.0,1910132.0,119.317,1.01,25.45,7.36,,3.72,1.99,2019-04-10,201.48
ATVI,54.54,55.25,55.30 x 1100,55.49 x 1300,54.72 - 55.82,39.85 - 70.95,5946.0,5438414.0,41.773,0.94,25.35,2.19,,0.37,0.68,2019-03-27,57.52
AYI,122.93,123.85,123.86 x 1100,123.91 x 900,123.36 - 125.29,103.48 - 147.44,298104.0,N/A,4.931,1.69,14.94,8.29,,0.52,0.42,2019-07-16,139.5
ADBE,265.52,265.63,266.84 x 800,267.48 x 1100,262.57 - 267.43,204.95 - 313.11,2930.0,2642489.0,127.387,1.11,47.48,5.62,,N/A,N/A,2005-03-24,313.16
AAP,163.5,164.53,165.89 x 1000,165.91 x 800,163.99 - 166.35,130.09 - 186.15,597442.0,597141871.0,11.834,1.11,27.72,5.99,,0.24,0.15,2019-09-19,171.33
AMD,30.97,31.5,32.10 x 27000,32.12 x 4000,31.42 - 32.26,16.03 - 35.55,49697.0,49773806.0,35.082,3.15,176.96,0.18,,N/A,N/A,1995-04-27,33.48
AES,16.38,16.4,16.41 x 3100,16.47 x 1800,16.34 - 16.50,13.55 - 18.52,3882.0,3672503.0,11.008,0.74,27.4,0.6,,0.55,3.33,2019-10-31,18.38
AMG,74.58,75.4,75.52 x 800,75.55 x 1200,75.23 - 76.64,71.08 - 124.28,582449.0,N/A,3.816,1.7,N/A,-2.48,,1.28,1.71,2019-08-07,86.75
AFL,52.71,53.0,52.82 x 2200,52.97 x 1400,52.85 - 53.21,41.45 - 57.18,2635.0,2459717.0,39.211,0.5,12.89,4.1,,1.08,2.05,2019-08-20,52.2
A,74.57,74.88,75.32 x 1300,75.97 x 800,74.69 - 75.51,61.01 - 82.27,1612.0,1419898.0,23.25,1.28,22.58,3.34,,0.66,0.88,2019-07-01,83.17
APD,214.88,215.72,213.47 x 1000,213.54 x 900,213.30 - 215.94,148.44 - 232.47,677316.0,N/A,47.158,0.72,27.62,7.73,,4.64,2.16,2019-09-30,240.0
AKAM,91.51,91.75,90.89 x 1000,92.69 x 1300,90.28 - 91.93,57.18 - 93.12,1384.0,1601407.0,15.085,0.47,36.02,2.55,,N/A,N/A,N/A,91.67
ALK,66.84,67.91,68.68 x 1000,69.57 x 1100,67.35 - 69.28,53.39 - 74.83,1391.0,N/A,8.493,1.08,16.96,4.07,,1.4,2.09,2019-08-19,75.79
ALB,67.13,67.91,66.91 x 800,68.16 x 1000,66.81 - 68.18,58.63 - 108.74,1098.0,1440564.0,7.013,1.25,13.12,5.12,,1.47,2.19,2019-09-12,84.53
ARE,156.01,156.03,157.33 x 800,157.37 x 900,155.61 - 157.58,109.04 - 157.58,478827.0,N/A,18.041,0.52,45.07,3.5,,4.0,2.56,2019-09-27,157.82
ALXN,98.41,100.0,99.50 x 1400,101.49 x 1200,98.59 - 101.35,92.56 - 141.86,1736.0,1427464.0,22.229,1.78,17.07,5.9,,N/A,N/A,N/A,152.26
ALGN,213.88,214.88,209.97 x 800,210.93 x 800,209.62 - 215.60,169.84 - 334.64,1400.0,1453453.0,16.773,2.36,40.79,5.15,,N/A,N/A,N/A,258.13
ALLE,103.95,104.57,104.97 x 800,105.05 x 1400,104.35 - 105.50,74.83 - 111.99,529025.0,N/A,9.807,1.23,22.82,4.6,,1.08,1.04,2019-09-13,105.67
AGN,173.6,174.26,172.81 x 800,174.80 x 800,173.56 - 175.43,114.27 - 190.36,1945.0,1287823.0,57.319,1.93,N/A,-25.5,,2.96,1.72,2019-08-12,183.4
ADS,123.54,124.49,124.70 x 800,124.74 x 1100,124.11 - 125.74,116.68 - 217.80,459582.0,N/A,6.385,1.81,7.71,16.17,,2.52,2.04,2019-09-03,169.41
LNT,52.98,53.07,53.14 x 2200,53.15 x 800,52.62 - 53.24,40.68 - 54.59,1100.0,1183195.0,12.682,0.22,24.62,2.16,,1.42,2.68,2019-10-30,52.56
ALL,108.41,108.94,108.80 x 1300,109.22 x 800,108.43 - 109.29,77.00 - 109.55,1128.0,1535456.0,36.148,0.77,14.79,7.38,,2.0,1.84,2019-08-29,113.43
GOOGL,N/A,N/A,"1,243.74 x 900","1,246.13 x 1000","1,239.99 - 1,253.51","977.66 - 1,296.97",1030.0,1391367.0,857.376,0.97,25.12,49.53,,N/A,N/A,N/A,N/A
GOOG,N/A,N/A,"1,245.01 x 1000","1,246.92 x 900","1,240.60 - 1,254.62","970.11 - 1,289.27",1038.0,1380864.0,858.48,0.94,25.16,49.53,N/A,N/A,N/A,N/A,N/A
MO,44.33,44.55,45.50 x 1800,45.49 x 3200,44.51 - 45.60,39.30 - 66.04,10232.0,10454717.0,85.207,0.37,13.6,3.35,,3.36,7.58,2019-09-13,52.93
AMZN,N/A,N/A,"1,781.40 x 900","1,784.74 x 1000","1,765.01 - 1,785.88","1,307.00 - 2,035.80",2224.0,2262634.0,868.477,1.63,74.08,24.1,,N/A,N/A,N/A,N/A
AEE,76.62,76.41,28.19 x 900,78.32 x 900,76.28 - 76.89,62.51 - 80.85,998498.0,998800676.0,19.047,0.23,23.74,3.23,,1.98,2.58,2019-12-10,80.78
AAL,28.22,28.51,28.64 x 4000,28.71 x 2200,28.42 - 28.91,24.23 - 40.58,6789.0,6310926.0,12.876,1.98,8.45,3.38,,0.4,1.42,2019-08-06,36.94
AEP,94.14,94.04,94.29 x 1200,94.55 x 800,93.49 - 94.54,72.07 - 94.89,2013.0,2228739.0,47.226,0.13,23.62,4.0,,2.68,2.85,2019-08-08,95.69
AXP,116.76,117.55,119.33 x 800,119.34 x 1800,117.49 - 119.38,89.05 - 129.34,3961.0,3448459.0,96.832,0.99,14.38,8.28,,1.72,1.47,2019-07-03,131.83
AIG,53.97,54.51,54.32 x 800,55.00 x 1100,54.44 - 54.88,36.16 - 58.66,1849.0,1495037.0,47.374,1.06,N/A,-0.14,,1.28,2.37,2019-09-16,59.75
AMT,229.09,229.24,228.96 x 800,231.30 x 900,226.70 - 229.59,148.43 - 242.00,1163.0,1699200.0,102.982,-0.01,69.31,3.31,,3.61,1.58,2019-06-18,221.6
AWK,122.41,122.1,120.00 x 900,122.19 x 900,120.81 - 122.40,85.89 - 129.89,1191.0,N/A,22.092,0.16,38.11,3.21,,2.0,1.63,2019-08-08,123.64
AMP,142.0,143.77,144.34 x 800,144.38 x 1100,143.56 - 145.30,95.69 - 153.91,529880.0,529072576.0,19.088,1.99,10.63,13.58,,3.88,2.73,2019-08-02,166.2
ABC,89.64,88.2,81.84 x 800,91.00 x 1100,84.37 - 89.00,69.36 - 94.75,2303.0,2283439.0,18.082,1.18,19.28,4.49,,1.6,1.78,2019-08-16,95.13
AME,88.35,88.82,88.24 x 800,90.67 x 900,88.03 - 89.33,63.14 - 92.86,2015.0,2163787.0,20.111,1.33,24.78,3.56,,0.56,0.63,2019-09-13,97.57
AMGN,202.72,203.57,202.89 x 1000,202.90 x 1100,200.78 - 203.61,166.30 - 211.90,1612.0,1915942.0,121.195,0.79,16.11,12.6,,5.8,2.86,2019-08-14,215.62
APH,99.0,99.7,100.37 x 900,100.32 x 800,99.38 - 100.52,74.95 - 105.51,1289.0,1415028.0,29.976,1.12,25.73,3.9,,1.0,1.01,2019-09-16,102.3
ADI,109.48,110.19,108.39 x 800,111.11 x 1100,110.00 - 111.48,76.62 - 124.79,1015.0,1135112.0,40.851,1.55,28.2,3.94,,2.16,1.97,2019-08-29,118.71
ANDV,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
ANSS,218.43,219.24,218.69 x 800,218.74 x 800,218.02 - 220.91,136.80 - 229.20,284055.0,N/A,18.196,1.68,42.8,5.11,,N/A,N/A,N/A,225.77
ANTM,249.4,250.93,253.31 x 900,253.59 x 1000,249.49 - 254.30,227.16 - 317.99,1927.0,1480042.0,64.779,0.87,16.35,15.48,,3.2,1.28,2019-09-09,330.79
AON,192.91,194.14,194.80 x 1200,194.90 x 900,192.94 - 195.06,135.30 - 198.61,480801.0,N/A,45.996,0.7,33.34,5.85,,1.76,0.91,2019-10-31,202.31
APA,22.19,22.19,22.30 x 1800,22.77 x 1000,22.05 - 22.88,19.44 - 42.14,4749.0,4675560.0,8.684,2.18,N/A,-1.87,,1.0,4.46,2019-07-19,27.82
AIV,54.48,54.42,47.00 x 800,54.89 x 800,54.23 - 54.82,41.98 - 54.82,485455.0,485054995.0,8.227,0.46,9.02,6.07,,1.56,2.86,2019-08-15,54.21
AAPL,236.41,237.52,240.45 x 1000,240.60 x 1800,237.48 - 240.99,142.00 - 240.99,22367.0,22456101.0,N/A,1.1,20.42,11.78,,3.08,1.3,2019-08-09,230.2
AMAT,51.68,52.19,52.64 x 3200,52.76 x 1200,51.99 - 52.71,28.79 - 53.25,5973.0,5510868.0,48.626,1.63,16.65,3.16,,0.84,1.63,2019-11-20,53.68
APTV,88.96,89.83,89.22 x 800,89.23 x 1200,88.75 - 89.83,58.80 - 91.57,748008.0,748130946.0,22.893,2.27,23.79,3.76,,0.88,0.99,2019-08-06,94.96
ADM,39.64,39.94,40.27 x 1200,40.40 x 1300,39.82 - 40.47,36.45 - 49.75,2118.0,2423823.0,22.383,1.02,17.4,2.32,,1.4,3.53,2019-08-21,49.09
ARNC,27.01,27.13,27.04 x 900,27.33 x 1400,26.95 - 27.36,15.63 - 27.92,2293.0,2199245.0,11.427,1.93,29.17,0.93,,0.08,0.29,2019-08-01,29.89
AJG,89.55,89.77,90.12 x 1100,93.50 x 900,89.75 - 90.36,68.19 - 92.74,772343.0,N/A,16.868,0.55,24.68,3.66,,1.72,1.92,2019-09-05,96.82
AIZ,125.67,126.67,127.10 x 900,127.61 x 800,126.36 - 127.59,82.31 - 127.76,331316.0,N/A,7.781,0.57,21.73,5.87,,2.4,1.91,2019-08-23,143.25
T,38.47,38.42,38.25 x 2200,38.31 x 1800,38.19 - 38.62,26.80 - 38.75,26023.0,26892412.0,284.223,0.77,16.12,2.37,,2.04,5.3,2019-07-09,36.5
ADSK,139.67,140.9,141.37 x 1300,142.50 x 1100,139.20 - 142.37,117.72 - 178.95,1764.0,1259642.0,30.079,1.41,546.29,0.26,,N/A,N/A,2005-03-22,173.26
ADP,163.54,164.08,162.11 x 800,162.25 x 800,161.30 - 164.49,121.40 - 174.50,1004.0,1901300.0,70.148,0.97,30.92,5.24,,3.16,1.93,2019-09-12,180.0
AZO,N/A,N/A,"1,109.04 x 900","1,160.50 x 1000","1,098.61 - 1,112.58","716.36 - 1,186.60",145315.0,N/A,26.798,0.72,17.5,63.43,,N/A,N/A,N/A,N/A
AVB,220.17,220.23,221.62 x 800,221.75 x 1200,219.09 - 222.04,167.01 - 222.04,734477.0,N/A,31.164,0.51,33.62,6.61,,6.08,2.76,2019-06-27,222.4
AVY,116.89,117.88,118.53 x 800,118.69 x 900,117.00 - 119.10,82.89 - 120.65,634992.0,N/A,10.11,1.46,41.86,2.83,,2.32,1.98,2019-09-03,122.44
BHGE,21.99,0.0,"3,609,731","7,018,739",22.04 - 22.56,20.09 - 30.00,N/A,N/A,22.667,0.92,64.56,0.34,,0.72,3.23,2019-08-12,29.08
BLL,74.11,74.36,72.26 x 1000,72.47 x 800,71.75 - 74.36,42.24 - 81.88,1755.0,1152534.0,24.078,0.52,47.37,1.53,,0.6,0.81,2019-08-30,76.45
BAC,30.35,30.67,30.98 x 34100,30.99 x 45100,30.63 - 31.15,22.66 - 31.17,60954.0,60688553.0,282.477,1.64,11.43,2.71,,0.72,2.37,2019-09-05,33.14
BAX,87.99,88.48,88.42 x 1400,88.42 x 900,88.36 - 89.10,61.05 - 89.93,1636.0,1327501.0,45.231,1.05,29.6,2.99,,0.88,1.0,2019-08-29,92.43
BBT,52.67,53.16,53.00 x 1300,53.99 x 1200,52.96 - 53.49,40.68 - 53.90,4399.0,4724420.0,41.139,1.22,13.46,3.97,,1.8,3.42,2019-08-13,55.5
BDX,258.59,257.11,254.04 x 1200,254.57 x 800,253.98 - 259.14,208.62 - 264.74,917810.0,N/A,69.074,1.21,88.91,2.86,,3.08,1.19,2019-09-06,268.2
BRK.B,N/A,N/A,N/A x N/A,N/A x N/A,N/A - N/A,undefined - undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BBY,70.52,71.13,71.21 x 1000,71.52 x 800,71.06 - 72.08,47.72 - 78.53,1508.0,1649890.0,19.01,1.67,12.92,5.53,,2.0,2.84,2019-09-18,76.71
BIIB,220.06,222.0,224.30 x 1000,225.00 x 1100,221.56 - 225.78,215.78 - 344.00,2429.0,2494773.0,40.213,1.45,8.33,26.83,,N/A,N/A,N/A,253.65
BLK,445.04,447.06,453.36 x 1000,453.77 x 900,447.04 - 454.39,360.79 - 487.45,545056.0,N/A,69.679,1.45,17.52,25.9,,13.2,2.97,2019-09-04,504.36
HRB,23.28,23.38,23.75 x 4000,23.76 x 3100,23.38 - 23.80,22.96 - 29.62,2916.0,2948020.0,4.675,0.49,11.46,2.07,,1.04,4.47,2019-09-12,25.0
BA,344.0,332.89,331.25 x 1000,331.80 x 2200,324.40 - 334.24,292.47 - 446.01,15374.0,15195589.0,186.291,1.27,37.96,8.72,,8.22,2.21,2019-08-08,411.14
BWA,38.74,39.0,38.97 x 800,38.89 x 1000,38.80 - 39.55,30.71 - 44.78,1283.0,1739007.0,8.202,1.75,10.59,3.68,,0.68,1.76,2019-08-30,44.69
BXP,128.36,128.1,129.81 x 800,129.84 x 1200,128.10 - 129.99,107.84 - 140.35,516815.0,N/A,20.201,0.92,38.01,3.42,,3.8,2.96,2019-06-27,144.56
BSX,38.47,38.67,38.65 x 1300,38.70 x 800,38.50 - 38.95,31.56 - 43.84,7444.0,7338240.0,54.262,0.69,39.04,0.99,,N/A,N/A,N/A,48.27
BHF,36.96,37.35,37.69 x 800,37.70 x 1300,37.35 - 38.19,28.52 - 45.42,706474.0,706012142.0,4.194,2.1,5.48,6.88,N/A,N/A,N/A,N/A,37.29
BMY,53.03,53.15,53.21 x 2200,53.38 x 1400,52.56 - 53.37,42.48 - 54.81,12829.0,12252135.0,88.035,0.58,14.01,3.8,,1.64,3.09,2019-07-03,60.13
AVGO,286.73,288.44,288.92 x 800,292.00 x 1100,287.06 - 291.90,208.23 - 323.20,1374.0,1159459.0,114.864,0.84,40.75,7.11,,10.6,3.7,2019-06-21,320.68
BF.B,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
CHRW,86.56,87.02,86.80 x 800,86.82 x 800,86.17 - 87.50,77.72 - 94.34,611860.0,611281245.0,11.752,0.74,17.42,4.98,,2.0,2.31,2019-09-05,87.53
CA,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
COG,17.95,17.89,18.28 x 4000,18.29 x 2200,17.65 - 18.30,16.01 - 27.65,6573.0,6258851.0,7.657,0.49,9.36,1.95,,0.36,2.01,2019-08-07,22.73
CDNS,65.6,66.34,70.40 x 900,70.50 x 800,65.80 - 66.87,40.14 - 77.08,1884.0,1832495.0,18.587,1.32,44.21,1.51,,N/A,N/A,N/A,74.69
CPB,47.56,47.56,47.81 x 800,47.82 x 800,47.56 - 48.20,32.03 - 48.38,1829.0,1204384.0,14.304,0.78,68.51,0.7,,1.4,2.94,2019-07-11,42.77
COF,89.8,90.71,91.38 x 1300,91.41 x 800,90.57 - 91.72,69.90 - 98.62,1296.0,1384473.0,42.851,1.33,7.89,11.57,,1.6,1.78,2019-08-02,105.47
CAH,51.54,51.13,49.21 x 900,50.80 x 1000,49.15 - 51.48,41.03 - 58.31,4603.0,4912084.0,14.835,1.66,11.13,4.53,,1.92,3.73,2019-09-30,48.69
KMX,94.28,95.0,95.71 x 900,96.11 x 800,94.74 - 96.36,55.24 - 96.36,1170.0,1351032.0,16.053,0.99,18.49,5.19,,N/A,N/A,N/A,100.25
CCL,42.79,43.07,42.61 x 1100,43.11 x 900,42.97 - 43.51,39.92 - 62.52,4522.0,4268579.0,30.978,1.23,9.77,4.41,,2.0,4.67,2019-11-21,48.47
CAT,130.71,131.95,132.10 x 800,132.40 x 800,131.50 - 133.45,111.75 - 144.77,4103.0,4015000.0,73.625,1.54,12.3,10.75,,4.12,3.15,2019-10-18,139.35
CBOE,116.77,117.56,115.06 x 800,116.97 x 800,115.02 - 117.85,87.87 - 122.88,501822.0,N/A,12.912,-0.02,25.31,4.55,,1.44,1.23,2019-08-29,121.79
CBG,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
CBS,36.75,36.91,36.32 x 2900,36.33 x 1800,36.25 - 37.08,36.25 - 59.56,5734.0,5480623.0,13.342,1.02,4.47,8.13,,0.72,1.96,2019-09-09,54.48
CELG,102.95,103.0,103.40 x 900,103.50 x 1000,102.40 - 103.50,58.59 - 103.50,3371.0,3517381.0,74.112,1.44,14.13,7.32,,N/A,N/A,N/A,97.75
CNC,46.88,47.2,45.77 x 800,46.25 x 900,45.77 - 47.30,41.62 - 74.49,5356.0,5770731.0,18.81,0.8,15.07,3.04,,N/A,N/A,N/A,68.35
CNP,28.64,28.59,28.76 x 1100,28.81 x 1000,28.54 - 28.79,26.74 - 31.42,2913.0,2520729.0,14.399,0.51,25.41,1.13,,1.15,4.02,2019-08-14,31.75
CTL,12.44,12.5,12.32 x 4000,12.43 x 2900,12.31 - 12.78,9.64 - 22.04,12198.0,12755457.0,13.986,0.75,N/A,-7.43,,1.0,8.04,2019-08-29,12.38
CERN,67.76,67.92,68.14 x 1800,68.17 x 900,67.73 - 68.40,48.78 - 76.47,1116.0,1956418.0,21.59,0.83,37.66,1.81,,0.72,1.06,2019-06-17,75.84
CF,47.77,48.33,46.49 x 800,46.50 x 1200,46.26 - 48.33,38.90 - 55.15,2518.0,2178579.0,9.999,0.97,23.46,1.98,,1.2,2.51,2019-11-14,54.45
SCHW,39.94,40.53,41.00 x 4000,41.38 x 3200,40.23 - 41.01,34.58 - 49.24,7545.0,7127137.0,54.128,0.95,15.09,2.71,,0.68,1.7,2019-08-08,41.75
CHTR,440.05,442.22,437.89 x 2200,437.70 x 1100,437.28 - 444.99,272.91 - 445.00,528477.0,528187626.0,96.63,1.14,74.09,5.91,,N/A,N/A,N/A,446.0
CHK,1.29,1.27,1.3400 x 301800,1.3600 x 309400,1.2600 - 1.3700,1.2600 - 4.7600,59468.0,59629587.0,2.617,2.57,N/A,N/A,,N/A,N/A,2015-04-13,1.76
CVX,114.74,115.55,116.51 x 800,116.80 x 1000,115.55 - 116.75,100.22 - 127.34,3727.0,3691765.0,220.204,0.84,15.1,7.72,,4.76,4.15,2019-08-16,137.46
CMG,841.48,847.64,853.50 x 1000,856.99 x 800,842.11 - 852.00,383.20 - 857.90,521935.0,N/A,23.96,1.13,96.05,8.87,,N/A,N/A,N/A,818.31
CB,152.69,153.41,150.85 x 1000,158.47 x 800,152.65 - 153.69,119.54 - 162.44,1206.0,1574306.0,69.716,0.6,18.79,8.16,,3.0,1.96,2019-09-19,161.76
CHD,73.89,73.89,73.68 x 1100,73.69 x 1000,73.19 - 74.00,57.36 - 80.99,1129.0,1651039.0,18.243,0.03,30.71,2.4,,0.91,1.23,2019-08-14,76.83
CI,166.88,166.95,166.77 x 900,166.83 x 900,165.85 - 168.05,141.95 - 226.61,1696.0,1041334.0,62.963,1.06,14.39,11.59,,0.04,0.02,2019-03-08,209.73
XEC,41.33,41.3,42.50 x 1000,42.64 x 800,40.86 - 42.72,37.19 - 95.62,1106.0,1002990.0,4.179,1.64,6.92,6.15,,0.8,1.94,2019-11-14,64.1
CINF,115.72,115.87,114.50 x 800,117.89 x 800,114.66 - 116.26,71.01 - 118.19,521711.0,N/A,19.052,0.55,15.57,7.45,,2.24,1.94,2019-09-17,105.63
CTAS,269.31,270.04,269.91 x 900,269.99 x 900,268.44 - 271.96,155.98 - 271.96,286287.0,N/A,27.944,1.08,32.07,8.42,,2.05,0.76,2018-11-08,272.0
CSCO,46.71,47.14,47.39 x 2900,47.42 x 1400,46.97 - 47.48,40.25 - 58.26,14455.0,14739382.0,201.184,1.1,18.16,2.61,,1.4,2.99,2019-07-03,55.17
C,69.74,70.52,71.85 x 1200,71.90 x 1800,70.52 - 71.89,48.42 - 73.08,13075.0,13626701.0,157.091,1.89,9.54,7.53,,2.04,2.93,2019-08-02,82.77
CFG,35.32,35.78,34.26 x 1000,35.65 x 2200,35.47 - 36.11,27.62 - 38.64,4019.0,4471712.0,16.048,1.65,9.41,3.78,,1.44,4.11,2019-07-30,40.73
CTXS,101.52,101.65,103.24 x 2200,103.26 x 3000,101.65 - 103.96,90.28 - 112.27,1886.0,1982159.0,13.508,0.71,27.73,3.72,,1.4,1.4,2019-09-05,109.79
CME,213.17,212.21,204.31 x 800,206.10 x 800,205.79 - 212.81,161.05 - 224.91,1243.0,1255598.0,73.848,-0.13,40.19,5.13,,3.0,1.41,2019-09-09,215.81
CMS,64.01,63.91,63.96 x 800,63.97 x 900,63.42 - 64.07,47.63 - 65.31,1045.0,1848001.0,18.242,0.16,31.18,2.05,,1.53,2.39,2019-08-01,64.31
KO,54.78,54.45,54.15 x 3000,54.23 x 1300,53.68 - 54.56,44.42 - 55.92,12474.0,12064181.0,231.889,0.3,29.94,1.81,,1.6,2.92,2019-09-13,57.52
CTSH,60.64,61.32,60.80 x 900,62.20 x 1800,60.30 - 61.59,56.73 - 74.85,3310.0,3143831.0,33.164,1.07,16.82,3.61,,0.8,1.3,2019-08-21,69.0
CL,68.03,68.0,68.25 x 900,68.40 x 800,67.85 - 68.38,57.41 - 76.41,2441.0,2324010.0,58.559,0.78,25.98,2.63,,1.72,2.53,2019-07-17,73.18
CMCSA,45.57,45.89,46.08 x 2900,46.09 x 900,45.81 - 46.22,32.61 - 47.27,10898.0,10634312.0,209.433,0.99,17.6,2.62,,0.84,1.84,2019-10-01,50.37
CMA,65.45,66.19,59.00 x 800,71.80 x 800,65.26 - 66.76,58.54 - 88.96,1317.0,1837410.0,9.568,1.51,8.3,7.9,,2.68,4.09,2019-09-12,69.41
